run_id,run_threshold,used_dim_red_weights,used_training_weights,cid,pid,activity,sample_activity_score,validation_weight,cid_only_predict_proba,pid_only_predict_proba,combined_predict_proba
1,0.09,True,True,644241,P08183,1,0.4393433652530781,0.9461011707532583,0.2561575174331665,0.8953379988670349,0.7128907442092896
1,0.09,True,True,644241,P08684,1,0.34467502983380394,0.45968632648553126,0.2561575174331665,0.9773653149604797,0.8076456189155579
1,0.09,True,True,644241,Q9Y6L6,1,0.5665484167652082,0.32957808703335545,0.2561575174331665,0.7566227912902832,0.49702900648117065
1,0.09,True,True,644241,P00519,1,0.3883440739702997,0.9295339076651203,0.2561575174331665,0.24802634119987488,0.11425119638442993
1,0.09,True,True,5279,Q9NRP7,1,0.08274078862314149,0.9648774022531478,0.1152084469795227,0.3657107651233673,0.15644752979278564
1,0.09,True,True,2995,P08183,1,0.6318052738336712,0.9734923790589795,0.6249118447303772,0.8953379988670349,0.9511504769325256
1,0.09,True,True,2995,Q63380,1,0.5720853858784893,0.23812679478683454,0.6249118447303772,0.33111581206321716,0.7216290235519409
1,0.09,True,True,2995,O75751,1,0.7339901477832513,0.3779544952507179,0.6249118447303772,0.7419443130493164,0.8542078137397766
1,0.09,True,True,2995,P28335,1,0.8668805132317563,0.40159045725646125,0.6249118447303772,0.5041641592979431,0.874752402305603
1,0.09,True,True,2995,Q9H015,1,0.4482758620689655,0.31146454605699136,0.6249118447303772,0.7902961373329163,0.8903231024742126
1,0.09,True,True,4633,P35498,1,0.2296227293898463,0.15374420145791914,0.3363195061683655,0.21846739947795868,0.3151707053184509
1,0.09,True,True,2351,P08183,1,0.5882913165266106,0.252926883145571,0.3786114752292633,0.8953379988670349,0.9033659100532532
1,0.09,True,True,2351,Q12809,1,0.7777777777777777,0.43870112657389,0.3786114752292633,0.47490501403808594,0.6072962880134583
1,0.09,True,True,2351,P54750,1,0.4373706004140785,0.35674839849790146,0.3786114752292633,0.4113842248916626,0.3913121819496155
1,0.09,True,True,2858522,O75385,1,0.07407407407407396,0.15595316986967087,0.2929868698120117,0.373324453830719,0.3239225149154663
1,0.09,True,True,2858522,NP_002741,1,0.5,0.10227523746410426,0.2929868698120117,0.43136152625083923,0.3084811866283417
1,0.09,True,True,2858522,Q96Q40,1,0.06666666666666665,0.12127236580516898,0.2929868698120117,0.40303850173950195,0.27835360169410706
1,0.09,True,True,2858522,NP_001014833,1,0.3999999999999999,0.12326043737574553,0.2929868698120117,0.3487325608730316,0.22889624536037445
1,0.09,True,True,2858522,CAI14764,1,0.30000000000000004,0.12370223105809587,0.2929868698120117,0.5084952712059021,0.275966614484787
1,0.09,True,True,11626560,P08183,1,0.2704859335038363,0.8575215374420145,0.15669573843479156,0.8953379988670349,0.7399791479110718
1,0.09,True,True,11626560,P08684,1,0.1758175980845622,0.2540313673514469,0.15669573843479156,0.9773653149604797,0.8719732761383057
1,0.09,True,True,11626560,Q9UM73,1,0.16650197628458496,0.823282527059863,0.15669573843479156,0.489066481590271,0.2130068987607956
1,0.09,True,True,2170,P35348,1,0.8145161290322579,0.5241882041086813,0.43418416380882263,0.5895311832427979,0.9269286394119263
1,0.09,True,True,2170,Q01959,1,0.6570866141732283,0.3043958471393859,0.43418416380882263,0.42151114344596863,0.7663179039955139
1,0.09,True,True,2170,1QCY_A,1,0.7858974358974358,0.7260879169427877,0.43418416380882263,0.4518638253211975,0.6159040331840515
1,0.09,True,True,2170,P21728,1,0.7590909090909093,0.5785288270377733,0.43418416380882263,0.4603245258331299,0.7769119143486023
1,0.09,True,True,2170,ACA62796,1,0.8389867841409693,0.6401590457256461,0.43418416380882263,0.5188495516777039,0.7038493752479553
1,0.09,True,True,2170,CAA97545,1,0.668181818181818,0.8031809145129225,0.43418416380882263,0.308838814496994,0.4056682586669922
1,0.09,True,True,2170,P35462,1,0.6570175438596491,0.4537221117738016,0.43418416380882263,0.39985257387161255,0.8503780364990234
