run_id,run_threshold,used_dim_red_weights,used_training_weights,cid,pid,activity,sample_activity_score,validation_weight,cid_only_predict_proba,pid_only_predict_proba,combined_predict_proba
2,0.08,False,False,644241,P08183,1,0.4393433652530781,0.9306383918709963,0.1692403256893158,0.8201775550842285,0.5676944255828857
2,0.08,False,False,644241,P08684,1,0.34467502983380394,0.44775789706207203,0.1692403256893158,0.908159077167511,0.48863139748573303
2,0.08,False,False,644241,Q9Y6L6,1,0.5665484167652082,0.3273691186216037,0.1692403256893158,0.7025169730186462,0.42320188879966736
2,0.08,False,False,644241,P00519,1,0.3883440739702997,0.9273249392533687,0.1692403256893158,0.12055806815624237,0.06421438604593277
2,0.08,False,False,5279,Q9NRP7,1,0.08274078862314149,0.9924895074000442,0.050065331161022186,0.19298683106899261,0.07235845923423767
2,0.08,False,False,2995,P08183,1,0.6318052738336712,0.9723878948531036,0.518227756023407,0.8201775550842285,0.9444497227668762
2,0.08,False,False,2995,Q63380,1,0.5720853858784893,0.27590015462778883,0.518227756023407,0.1249217614531517,0.5780882239341736
2,0.08,False,False,2995,O75751,1,0.7339901477832513,0.35056328694499667,0.518227756023407,0.724506139755249,0.8238289952278137
2,0.08,False,False,2995,P28335,1,0.8668805132317563,0.3934172741329799,0.518227756023407,0.3890301585197449,0.7645896077156067
2,0.08,False,False,2995,Q9H015,1,0.4482758620689655,0.31455710183344376,0.518227756023407,0.9074370861053467,0.8633240461349487
2,0.08,False,False,4633,P35498,1,0.2296227293898463,0.16169648774022533,0.22851333022117615,0.17275850474834442,0.3049251139163971
2,0.08,False,False,2351,P08183,1,0.5882913165266106,0.2599955820631765,0.35543665289878845,0.8201775550842285,0.9194096326828003
2,0.08,False,False,2351,Q12809,1,0.7777777777777777,0.40247404462116193,0.35543665289878845,0.35436639189720154,0.4863642454147339
2,0.08,False,False,2351,P54750,1,0.4373706004140785,0.40313673514468745,0.35543665289878845,0.4101477861404419,0.38357874751091003
2,0.08,False,False,2858522,O75385,1,0.07407407407407396,0.1334216920698034,0.5321090221405029,0.17487357556819916,0.2606736123561859
2,0.08,False,False,2858522,NP_002741,1,0.5,0.07488402915838303,0.5321090221405029,0.319317489862442,0.21649876236915588
2,0.08,False,False,2858522,Q96Q40,1,0.06666666666666665,0.09631102275237464,0.5321090221405029,0.22536543011665344,0.2362893968820572
2,0.08,False,False,2858522,NP_001014833,1,0.3999999999999999,0.09829909432295118,0.5321090221405029,0.3098149597644806,0.23305007815361023
2,0.08,False,False,2858522,CAI14764,1,0.30000000000000004,0.10448420587585598,0.5321090221405029,0.5172929167747498,0.26889654994010925
2,0.08,False,False,11626560,P08183,1,0.2704859335038363,0.8416169648774022,0.07281578332185745,0.8201775550842285,0.5756257772445679
2,0.08,False,False,11626560,P08684,1,0.1758175980845622,0.2551358515573227,0.07281578332185745,0.908159077167511,0.6762875914573669
2,0.08,False,False,11626560,Q9UM73,1,0.16650197628458496,0.7839628893306826,0.07281578332185745,0.5859347581863403,0.10849644243717194
2,0.08,False,False,2170,P35348,1,0.8145161290322579,0.4974596863264855,0.3254809081554413,0.4811192750930786,0.8586462140083313
2,0.08,False,False,2170,Q01959,1,0.6570866141732283,0.31499889551579413,0.3254809081554413,0.3018069863319397,0.6462228298187256
2,0.08,False,False,2170,1QCY_A,1,0.7858974358974358,0.7388999337309476,0.3254809081554413,0.4232960641384125,0.5742933750152588
2,0.08,False,False,2170,P21728,1,0.7590909090909093,0.5537883808261542,0.3254809081554413,0.370164155960083,0.7355291843414307
2,0.08,False,False,2170,ACA62796,1,0.8389867841409693,0.6032692732493925,0.3254809081554413,0.5100504755973816,0.6517066955566406
2,0.08,False,False,2170,CAA97545,1,0.668181818181818,0.7967749061188425,0.3254809081554413,0.3253934681415558,0.3447965681552887
