run_id,run_threshold,used_dim_red_weights,used_training_weights,cid,pid,activity,sample_activity_score,validation_weight,cid_only_predict_proba,pid_only_predict_proba,combined_predict_proba
1,0.04,False,True,644241,P08183,1,0.4393433652530781,0.93549812237685,0.19614194333553314,0.8908913731575012,0.6346795558929443
1,0.04,False,True,644241,P08684,1,0.34467502983380394,0.46984758117958914,0.19614194333553314,0.9539720416069031,0.6758620142936707
1,0.04,False,True,644241,Q9Y6L6,1,0.5665484167652082,0.3260437375745527,0.19614194333553314,0.7612749934196472,0.4934247136116028
1,0.04,False,True,644241,P00519,1,0.3883440739702997,0.9357190192180251,0.19614194333553314,0.21456004679203033,0.10836061835289001
1,0.04,False,True,5279,Q9NRP7,1,0.08274078862314149,0.9918268168765186,0.07113698869943619,0.26170217990875244,0.10495968163013458
1,0.04,False,True,2995,P08183,1,0.6318052738336712,0.9692953390766512,0.6025873422622681,0.8908913731575012,0.9534964561462402
1,0.04,False,True,2995,Q63380,1,0.5720853858784893,0.25270598630439584,0.6025873422622681,0.3158714771270752,0.7117332220077515
1,0.04,False,True,2995,O75751,1,0.7339901477832513,0.39739341727413297,0.6025873422622681,0.7376728057861328,0.8452525734901428
1,0.04,False,True,2995,P28335,1,0.8668805132317563,0.3775127015683676,0.6025873422622681,0.5045338273048401,0.8476832509040833
1,0.04,False,True,2995,Q9H015,1,0.4482758620689655,0.3121272365805169,0.6025873422622681,0.7997196316719055,0.8501556515693665
1,0.04,False,True,4633,P35498,1,0.2296227293898463,0.2032250938811575,0.2790948450565338,0.19603490829467773,0.28398409485816956
1,0.04,False,True,2351,P08183,1,0.5882913165266106,0.27391208305721226,0.38299494981765747,0.8908913731575012,0.9299670457839966
1,0.04,False,True,2351,Q12809,1,0.7777777777777777,0.4188204108681246,0.38299494981765747,0.46113768219947815,0.6413115859031677
1,0.04,False,True,2351,P54750,1,0.4373706004140785,0.35917826375082834,0.38299494981765747,0.3744848668575287,0.3362298011779785
1,0.04,False,True,2858522,O75385,1,0.07407407407407396,0.11906339739341727,0.2719399631023407,0.24533310532569885,0.2315085381269455
